NAMES;EMAILS;PHONE NUMBERS
 Etondi Grace;grace@handsinhands.org;698887898
 Nono David;david@handsinhands.org;483834747
 Idriss Abdoul;idriss@handsinhands.org;823454987
 Mapalo Paul;paul@handsinhands.org;467690340
 Youseff Ibrahim;youf@handsinhands.org;215677439
 Clinton Njie;clint@handsinhands.org;458900786
 Nganou Francis;fran@handsinhands.org;157806543
 Vincent Duplex;dup@handsinhands.org;987654323
 Verlain Manga;manga@handsinhands.org;324567898
 Emmanuel Ngwa;emma@handsinhands.org;547698866
 Aline Ekambi;aline@handsinhands.org;758978675
 Patrice Dewa;dewa@handsinhands.org;245778646
 Elvige Lassa;lass@handsinhands.org;678647466
